gsis_id,drive_id,play_id,down,quarter,seconds_elapsed,yardline,yards_to_go,description,offense_team,home_team,away_team,week,season_year,offense_won,player_ids,curr_home_score,curr_away_score,wp,wpa
2009091000,1,46,0,Q1,0,-20,0,R.Bironas kicks 67 yards from TEN 30 to PIT 3. S.Logan to PIT 42 for 39 yards (M.Griffin).,TEN,PIT,TEN,1,2009,False,"[u'00-0025406', u'00-0020962', u'00-0026491']",0,0,0.390400612118,0.00307629326837
2009091000,1,68,1,Q1,7,-8,10,(14:53) B.Roethlisberger pass short left to H.Ward to PIT 47 for 5 yards (C.Hope).,PIT,PIT,TEN,1,2009,True,"[u'00-0021219', u'00-0017162', u'00-0022924']",0,0,0.606523094614,0.0
2009091000,1,92,2,Q1,44,-3,5,(14:16) W.Parker right end to PIT 44 for -3 yards (S.Tulloch).,PIT,PIT,TEN,1,2009,True,"[u'00-0024331', u'00-0022250']",0,0,0.606523094614,-0.0346787426654
2009091000,1,113,3,Q1,85,-6,8,(13:35) (Shotgun) B.Roethlisberger pass incomplete deep right to M.Wallace. COVERAGE BY #24 HOPE,PIT,PIT,TEN,1,2009,True,"[u'00-0022924', u'00-0026901']",0,0,0.571844351949,-0.0509157030891
2009091000,1,139,4,Q1,93,-6,8,"(13:27) (Punt formation) D.Sepulveda punts 54 yards to TEN 2, Center-G.Warren, downed by PIT-K.Lewis.",PIT,PIT,TEN,1,2009,True,[u'00-0025499'],0,0,0.52092864886,0.0496735785176
2009091000,2,162,1,Q1,104,-48,10,"(13:16) C.Johnson up the middle to TEN 2 for no gain (B.Keisel, J.Farrior).",TEN,PIT,TEN,1,2009,False,"[u'00-0005082', u'00-0021344', u'00-0026164']",0,0,0.429397772623,-0.00869477779139
2009091000,2,183,2,Q1,140,-48,10,(12:40) K.Collins pass short left to A.Hall to TEN 6 for 4 yards (T.Polamalu).,TEN,PIT,TEN,1,2009,False,"[u'00-0022119', u'00-0003292', u'00-0024489']",0,0,0.420702994831,-0.00206588562735
2009091000,2,207,3,Q1,169,-44,6,(12:11) (Shotgun) C.Johnson left end to TEN 4 for -2 yards (T.Polamalu).,TEN,PIT,TEN,1,2009,False,"[u'00-0022119', u'00-0026164']",0,0,0.418637109204,-0.0536142804305
2009091000,2,228,4,Q1,206,-46,8,"(11:34) (Punt formation) C.Hentrich punts 50 yards to PIT 46, Center-K.Amato. S.Logan to TEN 43 for 11 yards (M.Griffin).",TEN,PIT,TEN,1,2009,False,"[u'00-0007308', u'00-0025406', u'00-0026491']",0,0,0.365022828774,0.0116016220047
2009091000,3,253,1,Q1,216,7,10,(11:24) B.Roethlisberger pass short right to M.Wallace to TEN 40 for 3 yards (W.Hayes).,PIT,PIT,TEN,1,2009,True,"[u'00-0026901', u'00-0026243', u'00-0022924']",0,0,0.623375549222,-0.000561843519361
2009091000,3,277,2,Q1,252,10,7,(10:48) B.Roethlisberger pass short left to S.Holmes to TEN 30 for 10 yards (M.Griffin).,PIT,PIT,TEN,1,2009,True,"[u'00-0024240', u'00-0025406', u'00-0022924']",0,0,0.622813705702,0.031404856661
2009091000,3,301,1,Q1,279,20,10,"(10:21) W.Parker right guard to TEN 31 for -1 yards (J.Jones, S.Tulloch).",PIT,PIT,TEN,1,2009,True,"[u'00-0024331', u'00-0026194', u'00-0022250']",0,0,0.654218562363,-0.0308430131416
2009091000,3,322,2,Q1,317,19,11,(9:43) B.Roethlisberger pass short right to H.Miller to TEN 22 for 9 yards (C.Hope).,PIT,PIT,TEN,1,2009,True,"[u'00-0021219', u'00-0023465', u'00-0022924']",0,0,0.623375549222,0.0308430131416
2009091000,3,346,3,Q1,359,28,2,(9:01) B.Roethlisberger sacked at TEN 41 for -19 yards (J.Jones).,PIT,PIT,TEN,1,2009,True,"[u'00-0026194', u'00-0022924']",0,0,0.654218562363,-0.120941008872
2009091000,3,365,4,Q1,395,9,21,"(8:25) (Punt formation) D.Sepulveda punts 30 yards to TEN 11, Center-G.Warren, fair catch by C.Finnegan.",PIT,PIT,TEN,1,2009,True,"[u'00-0024429', u'00-0025499']",0,0,0.533277553491,0.0318753075332
2009091000,4,393,1,Q1,400,-39,10,"(8:20) C.Johnson right end to TEN 43 for 32 yards (T.Polamalu). PENALTY on PIT-T.Polamalu, Unnecessary Roughness, 15 yards, enforced at TEN 43.",TEN,PIT,TEN,1,2009,False,"[u'00-0022119', u'00-0026164']",0,0,0.434847138976,0.0945894269419
